file1,file2,co_changes
Generic,CMYK,5
Generic,Profile.icc,5
CMYK,Generic,5
CMYK,Profile.icc,5
Profile.icc,Generic,5
Profile.icc,CMYK,5
Architecture,Overview.ppt,10
Overview.ppt,Architecture,10
Munsell,CIELab_to_UPLab.icc,2
Munsell,CIELab_to_UPLab2.icc,2
CIELab_to_UPLab.icc,Munsell,2
CIELab_to_UPLab2.icc,Munsell,2
JH'7,Duked.xml,4
Duked.xml,JH'7,4
JHotDraw,Draw.jar,5
JHotDraw,Net.jar,4
JHotDraw,Pert.jar,2
JHotDraw,SVG.jar,2
Draw.jar,JHotDraw,5
Net.jar,JHotDraw,4
Pert.jar,JHotDraw,2
SVG.jar,JHotDraw,2
